dataset,seed,model,protocol,on_trace_mass,within_subject_corr,between_subject_corr,identity_gap
handpd_spiral,1,vgg16,P1_image,0.07998838879772134,0.910688579082489,0.8691905765235424,0.041498002558946645
handpd_spiral,1,vgg16,P2_subject,0.064095952315256,0.8706332703431447,0.7705063926577568,0.10012687768538797
handpd_spiral,1,resnet50,P1_image,0.13095375029621897,0.921687493721644,0.8985654555559158,0.02312203816572822
handpd_spiral,1,resnet50,P2_subject,0.12524562366306782,0.6656943576798464,0.6163190808333456,0.04937527684650078
handpd_spiral,1,efficientnet_b0,P1_image,0.13490404168496262,0.8993601202964783,0.8835551724433899,0.01580494785308839
handpd_spiral,1,efficientnet_b0,P2_subject,0.12533529717475175,0.7185850535829862,0.5837353116914165,0.13484974189156973
handpd_spiral,2,vgg16,P1_image,0.0637938602500268,0.27946883738040923,0.45533059431239964,-0.1758617569319904
handpd_spiral,2,vgg16,P2_subject,0.024999059084802867,0.9794010102748871,0.9716044056415558,0.007796604633331317
handpd_spiral,2,resnet50,P1_image,0.12440902357165878,0.5519480496644974,0.4485694950055331,0.10337855465896428
handpd_spiral,2,resnet50,P2_subject,0.10264372741803526,0.7645964581364145,0.5632469351870532,0.20134952294936137
handpd_spiral,2,efficientnet_b0,P1_image,0.12492900724346573,0.9179981231689454,0.9135289195477962,0.004469203621149109
handpd_spiral,2,efficientnet_b0,P2_subject,0.12723228801041842,0.778545271527643,0.6444565058322332,0.13408876569540973
handpd_spiral,3,vgg16,P1_image,0.08092998802611553,0.7151024132966995,0.36123223472759125,0.3538701785691083
handpd_spiral,3,vgg16,P2_subject,0.07770681250840425,0.9231352537870408,0.8856660164296627,0.03746923735737806
handpd_spiral,3,resnet50,P1_image,0.12721307797206416,0.8491159677505493,0.6980322146266699,0.15108375312387945
handpd_spiral,3,resnet50,P2_subject,0.12853872291743756,0.7035419306640203,0.5319693554788828,0.17157257518513747
handpd_spiral,3,efficientnet_b0,P1_image,0.1284797709133174,0.9407889723777771,0.9062465173006058,0.03454245507717135
handpd_spiral,3,efficientnet_b0,P2_subject,0.12577789444476367,0.73600951662908,0.5182113867393927,0.21779812988968728
