train,test,model,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95
kaggle_spiral,handpd_spiral,vgg16,image,1,0.6494565217391305,0.7085210210210211,0.6114864864864865,0.8055555555555556,0.7372708757637475,0.7893674924924925,0.33147561491984284,0.6486861413043478,0.5625,0.7336956521739131,0.7882331239190614,0.6575466344997595,0.8938385753212268,0.6103864139205646,0.5197368421052632,0.7022183028616851,0.80533848640444,0.5937088815789474,0.9666666666666667
kaggle_spiral,handpd_spiral,vgg16,subject,1,0.6630434782608695,0.7274774774774775,0.6216216216216216,0.8333333333333334,0.7479674796747967,0.8018018018018018,0.3617330947639566,0.6619565217391303,0.5652173913043478,0.7608695652173914,0.8004918445220055,0.6467236560907446,0.9185389426917905,0.6202533283372759,0.5126923076923077,0.7285714285714285,0.8327512545176267,0.6153846153846154,1.0
kaggle_spiral,handpd_spiral,resnet50,image,1,0.24456521739130435,0.5251501501501502,0.06418918918918919,0.9861111111111112,0.12025316455696203,0.5592623873873874,0.08801933068927974,0.24512228260869565,0.16297554347826088,0.3342391304347826,0.5589940383181004,0.44753973890692644,0.6618058580139372,0.06440030284020919,0.02396450388744909,0.11429315476190471,0.9863130724783151,0.9545454545454546,1.0
kaggle_spiral,handpd_spiral,resnet50,subject,1,0.22826086956521738,0.5202702702702703,0.04054054054054054,1.0,0.07792207792207792,0.575075075075075,0.09054949169598611,0.22877173913043475,0.14130434782608695,0.31521739130434784,0.5749369061106795,0.4350241894855382,0.7041849010731053,0.04074167673673473,0.0,0.09333333333333334,1.0,1.0,1.0
kaggle_spiral,handpd_spiral,efficientnet_b0,image,1,0.20380434782608695,0.5050675675675675,0.010135135135135136,1.0,0.020066889632107024,0.4837180930930931,0.04471308011651746,0.2043138586956522,0.125,0.28804347826086957,0.4845352947156141,0.3800075954861111,0.5901484146786758,0.010300562845142369,0.0,0.02702702702702703,1.0,1.0,1.0
kaggle_spiral,handpd_spiral,efficientnet_b0,subject,1,0.20652173913043478,0.5067567567567568,0.013513513513513514,1.0,0.02666666666666667,0.44744744744744747,0.05170108966939356,0.20718478260869563,0.13043478260869565,0.29347826086956524,0.4487895328990473,0.28569994262765347,0.6158561657573813,0.013884562208332663,0.0,0.043478260869565216,1.0,1.0,1.0
kaggle_spiral,handpd_spiral,vgg16,image,2,0.1956521739130435,0.5,0.0,1.0,0.0,0.34445382882882886,0.0,0.19580978260869564,0.11956521739130435,0.2826086956521739,0.3435077977221339,0.2495546033165518,0.4443277645861601,0.0,0.0,0.0,1.0,1.0,1.0
kaggle_spiral,handpd_spiral,vgg16,subject,2,0.1956521739130435,0.5,0.0,1.0,0.0,0.30930930930930933,0.0,0.19580978260869564,0.11956521739130435,0.2826086956521739,0.3077346033399948,0.1861180486180486,0.4417395104895104,0.0,0.0,0.0,1.0,1.0,1.0
kaggle_spiral,handpd_spiral,resnet50,image,2,0.23369565217391305,0.5131381381381381,0.05405405405405406,0.9722222222222222,0.10191082802547771,0.622653903903904,0.04832875957787112,0.23403940217391306,0.15489130434782608,0.3179347826086957,0.6241866792356083,0.5041879283951174,0.7317757097630717,0.05410927899331314,0.018115942028985508,0.09687849813432835,0.9731283585002943,0.9318181818181818,1.0
kaggle_spiral,handpd_spiral,resnet50,subject,2,0.22826086956521738,0.5202702702702703,0.04054054054054054,1.0,0.07792207792207792,0.6659159159159158,0.09054949169598611,0.2283478260869565,0.15217391304347827,0.31521739130434784,0.668799303076733,0.5147953108875128,0.8065570887445888,0.04041508114232716,0.0,0.09093899521531085,1.0,1.0,1.0
