dataset,model,protocol,level,n_train_subjects,n_test_subjects,n_overlapping_subjects,overlap_fraction_of_test,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
kaggle:spiral,-,provided_split_leakage,subject,28.0,25.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle:spiral,vgg16,P1_image,image,,,,,1.0,0.7549019607843137,0.7549019607843137,0.8823529411764706,0.6274509803921569,0.782608695652174,0.8027681660899655,0.5272196186749782,0.755069550009288,0.6555357142857143,0.8422647527910686,0.7921530297428667,0.6531694180474334,0.8818842157204226,0.881025514923275,0.803921568627451,0.9545707070707071,0.6095570192624706,0.36583333333333334,0.7744465528146743,,,,,,
kaggle:spiral,vgg16,P1_image,subject,,,,,1.0,0.6785714285714286,0.6538461538461539,1.0,0.3076923076923077,0.7692307692307693,0.8615384615384616,0.43852900965351455,0.6776785714285714,0.5,0.8214285714285714,0.8630217618308825,0.7139724310776943,0.9739716198979592,1.0,1.0,1.0,0.30224357924067674,0.0,0.5386363636363637,,,,,,
kaggle:spiral,vgg16,P2_subject,image,,,,,1.0,0.6470588235294118,0.6470588235294117,0.6078431372549019,0.6862745098039216,0.6326530612244898,0.7370242214532872,0.29502647161824747,0.651394275615558,0.46273148148148147,0.8541666666666666,0.743782489820248,0.5295245763361707,0.915923202614379,0.5968958235760615,0.3682383040935672,0.8167045454545454,0.7292624269084242,0.4382982456140351,1.0,,,,,,
kaggle:spiral,vgg16,P2_subject,subject,,,,,1.0,0.6785714285714286,0.6897435897435897,0.5333333333333333,0.8461538461538461,0.64,0.7743589743589743,0.3949827793858816,0.6778571428571429,0.5,0.8214285714285714,0.775556759951711,0.5878883861236802,0.92828125,0.5299821012321012,0.285515873015873,0.7692307692307693,0.8503457674291652,0.615,1.0,,,,,,
kaggle:spiral,vgg16,leakage_probe,image,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.7311827956989247,1.0,0.5415204678362573,0.5532163742690058,0.5686274509803921
kaggle:spiral,resnet50,P1_image,image,,,,,1.0,0.6862745098039216,0.6862745098039216,0.39215686274509803,0.9803921568627451,0.5555555555555556,0.8300653594771242,0.4606822127204284,0.673451660902382,0.5116071428571428,0.8235661764705882,0.8276271006933446,0.7031060324538586,0.9228075396825397,0.37738253022566637,0.1332051282051282,0.6379156010230179,0.9797718066802343,0.928505291005291,1.0,,,,,,
kaggle:spiral,resnet50,P1_image,subject,,,,,1.0,0.6785714285714286,0.7,0.4,1.0,0.5714285714285714,0.8666666666666667,0.48617243480439776,0.675,0.4642857142857143,0.8571428571428571,0.8554612379571813,0.6768229166666667,0.9722222222222222,0.3921308684006053,0.15357142857142858,0.6153846153846154,1.0,1.0,1.0,,,,,,
kaggle:spiral,resnet50,P2_subject,image,,,,,1.0,0.6568627450980392,0.6568627450980392,0.5098039215686274,0.803921568627451,0.5977011494252874,0.7239523260284505,0.3282439759448873,0.641966430689362,0.4875,0.7549877450980392,0.7162427580253689,0.5246614583333333,0.8823342130578974,0.4957644012833501,0.28194444444444444,0.7147619047619049,0.7989776385694978,0.6548187444739169,0.9233333333333335,,,,,,
kaggle:spiral,resnet50,P2_subject,subject,,,,,1.0,0.5714285714285714,0.5846153846153846,0.4,0.7692307692307693,0.5,0.7230769230769231,0.18071682129971955,0.56625,0.35714285714285715,0.7508928571428574,0.7194280216564605,0.4873008040935672,0.916796875,0.39152887581544704,0.15384615384615385,0.6671875,0.7637123891330547,0.5,1.0,,,,,,
kaggle:spiral,resnet50,leakage_probe,image,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.7311827956989247,0.2222222222222222,0.4783625730994152,0.539571150097466,0.49019607843137253
kaggle:spiral,efficientnet_b0,P1_image,image,,,,,1.0,0.6764705882352942,0.6764705882352942,0.47058823529411764,0.8823529411764706,0.5925925925925926,0.7535563244905805,0.3872983346207417,0.6670754004471446,0.5118849206349206,0.8106186868686868,0.7487165393639134,0.5853860830527498,0.8524860788613691,0.45396848945535817,0.20305555555555554,0.7162640901771337,0.8851424727402062,0.7777777777777778,0.969760101010101,,,,,,
kaggle:spiral,efficientnet_b0,P1_image,subject,,,,,1.0,0.6428571428571429,0.6615384615384616,0.4,0.9230769230769231,0.5454545454545454,0.7589743589743589,0.3721042037676254,0.645,0.4642857142857143,0.7857142857142857,0.7603252813715966,0.5549707602339181,0.9181283422459893,0.3988242005027996,0.149375,0.6434523809523811,0.925707857115365,0.7272727272727273,1.0,,,,,,
kaggle:spiral,efficientnet_b0,P2_subject,image,,,,,1.0,0.5686274509803921,0.5686274509803921,0.21568627450980393,0.9215686274509803,0.3333333333333333,0.6989619377162629,0.19377278632539327,0.556168668345976,0.39572916666666663,0.7193713450292398,0.7202924463831075,0.5258550642479214,0.8906083152958153,0.21852076442236232,0.04740896358543418,0.4212406015037594,0.9362882055982052,0.84,1.0,,,,,,
kaggle:spiral,efficientnet_b0,P2_subject,subject,,,,,1.0,0.6071428571428571,0.6333333333333333,0.26666666666666666,1.0,0.42105263157894735,0.7589743589743589,0.38005847503304596,0.6025,0.39285714285714285,0.7857142857142857,0.7601172921866268,0.5227005347593582,0.8958864795918366,0.25833700971800816,0.06666666666666667,0.474342105263158,1.0,1.0,1.0,,,,,,
kaggle:spiral,efficientnet_b0,leakage_probe,image,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.7419354838709677,0.0,0.4672514619883041,0.41286549707602344,0.5196078431372549
kaggle:spiral,vgg16,P1_image,image,,,,,2.0,0.5980392156862745,0.5980392156862745,0.5882352941176471,0.6078431372549019,0.594059405940594,0.6974240676662822,0.19611613513818404,0.5904773161457565,0.4880952380952381,0.6833333333333333,0.6902717175510382,0.5670331790123457,0.783035426731079,0.5835346034874774,0.4442982456140351,0.7000925925925926,0.5908264642717841,0.42419191919191923,0.7308333333333333,,,,,,
kaggle:spiral,vgg16,P1_image,subject,,,,,2.0,0.6785714285714286,0.6897435897435897,0.5333333333333333,0.8461538461538461,0.64,0.7282051282051283,0.3949827793858816,0.671607142857143,0.5357142857142857,0.8571428571428571,0.7233809176052032,0.5259675480769231,0.9277884615384616,0.5286165834079921,0.3076923076923077,0.7857142857142857,0.8373980373556613,0.6360795454545455,1.0,,,,,,
kaggle:spiral,vgg16,P2_subject,image,,,,,2.0,0.7450980392156863,0.7450980392156863,0.5882352941176471,0.9019607843137255,0.6976744186046512,0.8104575163398693,0.5162601284777506,0.7300940735455012,0.5708333333333333,0.8774853801169591,0.7869395984074599,0.5745920138888889,0.9325411142676768,0.5672217550465145,0.35714285714285715,0.7879734848484848,0.8928586572102284,0.6968073593073594,1.0,,,,,,
kaggle:spiral,vgg16,P2_subject,subject,,,,,2.0,0.6785714285714286,0.6897435897435897,0.5333333333333333,0.8461538461538461,0.64,0.7487179487179487,0.3949827793858816,0.6746428571428572,0.5,0.8214285714285714,0.7439628931018182,0.5715885416666666,0.8932479668003566,0.532513055937011,0.3,0.7696428571428573,0.8379299266265211,0.6153846153846154,1.0,,,,,,
kaggle:spiral,vgg16,leakage_probe,image,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.9705882352941176,0.6161616161616161,0.0,0.560233918128655,0.6097465886939571,0.5686274509803921
kaggle:spiral,resnet50,P1_image,image,,,,,2.0,0.7450980392156863,0.7450980392156863,0.6274509803921569,0.8627450980392157,0.7111111111111111,0.8077662437524029,0.504356277224002,0.7427251377757377,0.6248511904761905,0.8421174463937622,0.8132931539260849,0.7126992317394795,0.9143563034188035,0.6273871363640282,0.443859649122807,0.8057291666666667,0.8631870290147571,0.75,0.9487179487179487,,,,,,
kaggle:spiral,resnet50,P1_image,subject,,,,,2.0,0.6785714285714286,0.6948717948717948,0.4666666666666667,0.9230769230769231,0.6086956521739131,0.8256410256410256,0.43026527297494643,0.6810714285714287,0.5348214285714286,0.8571428571428571,0.8273214502914097,0.6306887755102041,0.9626098166539343,0.46569714133046175,0.25,0.714484126984127,0.9299356082084409,0.7775641025641026,1.0,,,,,,
kaggle:spiral,resnet50,P2_subject,image,,,,,2.0,0.7058823529411765,0.7058823529411764,0.43137254901960786,0.9803921568627451,0.5945945945945946,0.825836216839677,0.49265379329101755,0.6917172757382198,0.5415178571428572,0.8403025793650793,0.8208372415716784,0.670969662571225,0.9372432659932661,0.4122283906835277,0.24428571428571427,0.6141008771929825,0.9790091919498426,0.9090909090909091,1.0,,,,,,
kaggle:spiral,resnet50,P2_subject,subject,,,,,2.0,0.6785714285714286,0.7,0.4,1.0,0.5714285714285714,0.8358974358974358,0.48617243480439776,0.6782142857142857,0.5,0.8223214285714288,0.8348194990247663,0.6775,0.9744871794871796,0.39862787236413394,0.16644736842105262,0.6157894736842107,1.0,1.0,1.0,,,,,,
kaggle:spiral,resnet50,leakage_probe,image,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.9705882352941176,0.7373737373737373,1.0,0.5497076023391813,0.6686159844054581,0.5882352941176471
kaggle:spiral,efficientnet_b0,P1_image,image,,,,,2.0,0.6666666666666666,0.6666666666666666,0.5686274509803921,0.7647058823529411,0.6304347826086957,0.7339484813533256,0.33993202039320236,0.6600981950196346,0.51109375,0.7727543290043289,0.7264753769466904,0.5937161133392751,0.8395330112721416,0.571083149012881,0.3777083333333333,0.7436666666666667,0.7473956001926222,0.5831439393939394,0.8788419913419914,,,,,,
kaggle:spiral,efficientnet_b0,P1_image,subject,,,,,2.0,0.7142857142857143,0.7282051282051283,0.5333333333333333,0.9230769230769231,0.6666666666666666,0.7487179487179487,0.4873877907780315,0.715,0.5357142857142857,0.8928571428571429,0.7454073613005502,0.5515465561224491,0.9062500000000002,0.5302606889154877,0.28523809523809524,0.7700000000000002,0.9299356082084409,0.7775641025641026,1.0,,,,,,
