model,protocol,on_trace_mass_mean,on_trace_mass_std,within_subject_corr_mean,within_subject_corr_std,between_subject_corr_mean,between_subject_corr_std,identity_gap_mean,identity_gap_std
efficientnet_b0,P1_image,0.12943760661391523,0.005056027585888661,0.919382405281067,0.020749087303252395,0.901110203097264,0.01563306340952775,0.01827220218380295,0.015187679916090156
efficientnet_b0,P2_subject,0.1261151598766446,0.0009924487575221177,0.7443799472465696,0.03084404343685086,0.5821344014210141,0.06313778352905479,0.1622455458255556,0.048111453608726006
resnet50,P1_image,0.1275252839466473,0.00328351433721815,0.7742505037122301,0.1959092708428486,0.6817223883960396,0.22544089902160702,0.09252811531619065,0.06466721850525345
resnet50,P2_subject,0.11880935799951355,0.014096341182995046,0.7112775821600937,0.0499027714333763,0.5705117904997605,0.04264155993721682,0.1407657916603332,0.08053469005957199
vgg16,P1_image,0.07490407902462122,0.009633243129457545,0.6350866099198659,0.3231276638902032,0.5619178018545111,0.27023331374710624,0.07316880806535485,0.26628229534368897
vgg16,P2_subject,0.0556006079694877,0.027361560160299225,0.9243898448016908,0.0543947222754682,0.8759256049096584,0.1009022270266733,0.04846423989203245,0.047136900524107725
