dataset,model,protocol,level,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std
handpd:spiral,efficientnet_b0,P1_image,image,0.8782608695652174,0.013088689759556855,0.7151651651651652,0.040131296938510995,0.9831081081081081,0.012864481597743104,0.44722222222222224,0.08806037491192974,0.9285648632947803,0.007109146958949709,0.9129973723723724,0.012692505640415436,0.5681563496192868,0.05333855483492007
handpd:spiral,efficientnet_b0,P1_image,subject,0.8804347826086957,0.02771206257387381,0.707057057057057,0.0712529306996311,0.991891891891892,0.012086853932431259,0.4222222222222222,0.14487116456005888,0.9304644832986779,0.015162748542901533,0.9391891891891891,0.008360006550795806,0.5737891575074844,0.11623516160721406
handpd:spiral,efficientnet_b0,P2_subject,image,0.85,0.029292419517851907,0.6681681681681682,0.07338396578212021,0.966891891891892,0.04967480074516974,0.36944444444444446,0.17721264341929532,0.9118000564536122,0.018709333336365725,0.8869463213213213,0.02648268867065033,0.459498280453898,0.115685048316393
handpd:spiral,efficientnet_b0,P2_subject,subject,0.8434782608695652,0.0272823921695894,0.6336336336336336,0.07433380289606957,0.9783783783783784,0.04121067751885652,0.28888888888888886,0.17302679447108266,0.9094577953484834,0.016286286719264527,0.9085585585585585,0.03096516953945985,0.41795146686114154,0.1239614004484425
handpd:spiral,resnet50,P1_image,image,0.8288043478260869,0.0157280392700954,0.5719594594594595,0.04734951565924088,0.9939189189189189,0.00501094492371327,0.15,0.09938079899999067,0.9033647108644913,0.007674143117340868,0.8481418918918919,0.023564584406364174,0.30288424461904445,0.10320576401209249
handpd:spiral,resnet50,P1_image,subject,0.8108695652173914,0.0097220346847817,0.5208708708708709,0.023032269545039404,0.9972972972972972,0.0060434269662156745,0.04444444444444444,0.046481112585226414,0.8945570307838894,0.005109775354199365,0.8957957957957958,0.021415485926120543,0.12583410867657738,0.13270616201719831
handpd:spiral,resnet50,P2_subject,image,0.8320652173913043,0.009491439780746182,0.5939564564564564,0.029570074576869994,0.9851351351351351,0.010302669379714104,0.20277777777777778,0.06558732751731997,0.9042015224668873,0.004925046456774301,0.7978322072072073,0.040482642403385664,0.33631259254009754,0.06178280223259585
handpd:spiral,resnet50,P2_subject,subject,0.8282608695652174,0.016122170624121034,0.5737237237237237,0.05651213630254482,0.991891891891892,0.018130280898646937,0.15555555555555553,0.12668615834434865,0.9028966318960847,0.007832231356927595,0.8145645645645645,0.04574345948556285,0.28555415913640864,0.16936835177466786
handpd:spiral,vgg16,P1_image,image,0.7907608695652174,0.038429716368834126,0.5199324324324325,0.029310063127213515,0.9648648648648649,0.07856455056080341,0.075,0.13234588055079552,0.8800296486994762,0.02972283321262807,0.763109984984985,0.09705353854781147,0.07330235266415087,0.10757000347938937
handpd:spiral,vgg16,P1_image,subject,0.8021739130434783,0.004861017342390875,0.5028528528528529,0.006379172908783201,0.9945945945945945,0.012086853932431285,0.01111111111111111,0.02484519974999766,0.88994012861261,0.003636151637592972,0.8232732732732734,0.07825581813623368,0.01274400253499064,0.028496455973668712
handpd:spiral,vgg16,P2_subject,image,0.8114130434782609,0.014327637311373957,0.5233108108108108,0.048336120872816066,0.9966216216216216,0.007554283707769567,0.05,0.10421295267946704,0.8948303723627117,0.0065728736971444775,0.7294106606606606,0.05631191124192792,0.0945298706291577,0.1589592236308266
handpd:spiral,vgg16,P2_subject,subject,0.8130434782608695,0.019444069369563357,0.5222222222222223,0.049690399499995354,1.0,0.0,0.04444444444444444,0.09938079899999065,0.8959690614309087,0.009844951975902707,0.7384384384384385,0.05817858162565144,0.0864566219253764,0.1933228837301404
