dataset,model,protocol,level,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std
handpd:meander,efficientnet_b0,P1_image,image,0.8353260869565217,0.01603030565625283,0.5928303303303303,0.05682407089950656,0.9912162162162161,0.014051779961544187,0.19444444444444445,0.12538520892547075,0.9064884600444035,0.007559236874044758,0.8848442192192192,0.029269133663691455,0.3485313256003883,0.1087376629644722
handpd:meander,efficientnet_b0,P1_image,subject,0.8304347826086957,0.027282392169589442,0.5666666666666667,0.0697216688778396,1.0,0.0,0.13333333333333336,0.13944333775567927,0.9048161742561824,0.013907827623034205,0.928978978978979,0.014041246955863158,0.2548817403673824,0.24447700497802188
handpd:meander,efficientnet_b0,P2_subject,image,0.8385869565217391,0.01130251866472041,0.5917042042042041,0.0265478910060332,0.9972972972972972,0.001510856741553868,0.18611111111111112,0.051594932280574185,0.9086113286123612,0.0059801696962889835,0.8796077327327326,0.022203699365799193,0.3744927005392074,0.06282086516664724
handpd:meander,efficientnet_b0,P2_subject,subject,0.8239130434782609,0.009094130723196517,0.55,0.023240556292613193,1.0,0.0,0.1,0.046481112585226414,0.9013585805685163,0.004600065521988698,0.9106606606606608,0.024876939227899252,0.28037333403957304,0.06819253361016445
handpd:meander,resnet50,P1_image,image,0.8054347826086957,0.0014883765149596528,0.5027777777777778,0.003803628871563637,1.0,0.0,0.005555555555555555,0.007607257743127307,0.8921041632593724,0.0007365474432641545,0.8690315315315316,0.020966707856491563,0.04233568259982181,0.05797052086825341
handpd:meander,resnet50,P1_image,subject,0.8043478260869567,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.8915662650602411,0.0,0.9154654654654655,0.020323032211037387,0.0,0.0
handpd:meander,resnet50,P2_subject,image,0.8059782608695653,0.002430508671195417,0.5041666666666667,0.006211299937499393,1.0,0.0,0.008333333333333333,0.012422599874998832,0.8923739248939822,0.001204367032576745,0.8404889264264265,0.033295344162621816,0.051144557623656925,0.07174293832621448
handpd:meander,resnet50,P2_subject,subject,0.8043478260869567,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.8915662650602411,0.0,0.8665165165165165,0.038964614898484004,0.0,0.0
handpd:meander,vgg16,P1_image,image,0.8059782608695653,0.0024305086711954396,0.5052177177177177,0.007169571403191161,0.9993243243243242,0.001510856741553926,0.01111111111111111,0.015214515486254614,0.8923091206643651,0.0011766411234060557,0.817797484984985,0.061384160499713354,0.05150523637984702,0.07209034359969357
handpd:meander,vgg16,P1_image,subject,0.8043478260869567,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.8915662650602411,0.0,0.8773273273273274,0.057130109706008875,0.0,0.0
handpd:meander,vgg16,P2_subject,image,0.8048913043478262,0.0012152543355976892,0.5013888888888889,0.003105649968749681,1.0,0.0,0.0027777777777777775,0.006211299937499416,0.8918352141598067,0.0006013884691162591,0.8179898648648649,0.08008822990545625,0.021167841299910905,0.047332732083528305
handpd:meander,vgg16,P2_subject,subject,0.8043478260869567,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.8915662650602411,0.0,0.8276276276276275,0.08590209374777076,0.0,0.0
