dataset,model,protocol,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
handpd:spiral,vgg16,P1_image,image,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8427646396396397,0.0,0.7990217391304347,0.717391304347826,0.8698369565217392,0.8428457627483286,0.7684424354456655,0.9084147440519106,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P1_image,subject,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8866366366366367,0.0,0.8043478260869565,0.717391304347826,0.8804347826086957,0.8943306362913901,0.7801248162473491,0.9732107798304981,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P2_subject,image,1,0.8369565217391305,0.6096096096096096,0.9831081081081081,0.2361111111111111,0.9065420560747663,0.7807338588588587,0.36681014664623396,0.8366304347826088,0.7581521739130435,0.9077445652173913,0.7771097431619698,0.6646318753199827,0.8707359035315055,0.9832248017822743,0.9671004256965944,0.9966688311688312,0.23690062938728598,0.06242559523809524,0.44458333333333333,,,,,,
handpd:spiral,vgg16,P2_subject,subject,1,0.8478260869565217,0.6111111111111112,1.0,0.2222222222222222,0.9135802469135802,0.8055555555555556,0.432283109626882,0.8471739130434783,0.7717391304347826,0.9130434782608695,0.8122381546201544,0.7028500684007173,0.9038858624383115,1.0,1.0,1.0,0.22059667804359326,0.049940476190476195,0.42857142857142855,,,,,,
handpd:spiral,vgg16,leakage_probe,image,1,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.8089887640449438,0.6666666666666666,0.5,0.5253847597597597,0.8043478260869565
handpd:spiral,resnet50,P1_image,image,1,0.8505434782608695,0.6390765765765766,0.9864864864864865,0.2916666666666667,0.9139280125195618,0.8175206456456456,0.43850952057798975,0.8458559782608697,0.7769701086956522,0.9103940217391304,0.817858469463935,0.7373110957924837,0.8945461240535395,0.9866313289402058,0.9707696086807929,0.9970632530120481,0.2869082362720519,0.15775171624713957,0.42548611111111123,,,,,,
handpd:spiral,resnet50,P1_image,subject,1,0.8043478260869565,0.521021021021021,0.9864864864864865,0.05555555555555555,0.8902439024390244,0.8768768768768769,0.1143667189923701,0.8047826086956522,0.7282608695652174,0.8804347826086957,0.8855475024482752,0.78878003003003,0.9643581649831651,0.9862639302518997,0.9576834139163338,1.0,0.05817079204267129,0.0,0.1669117647058824,,,,,,
handpd:spiral,resnet50,P2_subject,image,1,0.8369565217391305,0.5990990990990991,0.9898648648648649,0.20833333333333334,0.9071207430340558,0.7733201951951952,0.3645369293873707,0.8360190217391305,0.7743885869565218,0.902241847826087,0.7687546495401818,0.6529728979020719,0.8857953502346885,0.988611033607775,0.974562513757429,1.0,0.21164834855873774,0.09977272727272728,0.3216165413533835,,,,,,
handpd:spiral,resnet50,P2_subject,subject,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8055555555555556,0.0,0.8043478260869565,0.717391304347826,0.8804347826086957,0.8168925663882655,0.6881745621103526,0.9330586262674083,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,resnet50,leakage_probe,image,1,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.851123595505618,0.8333333333333334,0.5,0.5874624624624624,0.8043478260869565
handpd:spiral,efficientnet_b0,P1_image,image,1,0.8668478260869565,0.696509009009009,0.9763513513513513,0.4166666666666667,0.9218500797448166,0.9047015765765766,0.5184533750414329,0.8634510869565218,0.8097826086956522,0.9131114130434782,0.9085024008614292,0.8133904061624649,0.9685682974224021,0.9765581456639228,0.9525164313534566,0.9964800958528952,0.4146145273711885,0.28125,0.5556547619047619,,,,,,
handpd:spiral,efficientnet_b0,P1_image,subject,1,0.8586956521739131,0.6809309309309309,0.972972972972973,0.3888888888888889,0.9171974522292994,0.9309309309309309,0.4832085663883463,0.8607065217391303,0.7934782608695652,0.9239130434782609,0.9381913112993332,0.8408094031531532,0.9968780499249249,0.9735707952270448,0.9333108108108108,1.0,0.3934383358152478,0.16634615384615384,0.6318609022556392,,,,,,
handpd:spiral,efficientnet_b0,P2_subject,image,1,0.845108695652174,0.6251876876876877,0.9864864864864865,0.2638888888888889,0.9110764430577223,0.9147428678678678,0.4103271479787419,0.8448233695652175,0.7659646739130435,0.9021739130434783,0.9107657257213994,0.8226200857488682,0.9632933059587472,0.9858151189351786,0.960835450781103,1.0,0.2656721785513367,0.10921415441176471,0.4412581699346405,,,,,,
handpd:spiral,efficientnet_b0,P2_subject,subject,1,0.8369565217391305,0.6043543543543544,0.9864864864864865,0.2222222222222222,0.906832298136646,0.9444444444444445,0.36521453629283235,0.84,0.7608695652173914,0.9024456521739131,0.9493203343981826,0.8948367754830113,0.9887970362970364,0.9876943381252647,0.9571428571428572,1.0,0.22999735441973834,0.0,0.44458333333333333,,,,,,
handpd:spiral,efficientnet_b0,leakage_probe,image,1,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.8735955056179775,0.6666666666666666,0.5052552552552553,0.5161880630630631,0.8043478260869565
handpd:spiral,vgg16,P1_image,image,2,0.8179347826086957,0.5347222222222222,1.0,0.06944444444444445,0.8983308042488619,0.8142361111111112,0.23796401998767164,0.8122010869565217,0.7417119565217392,0.8886548913043478,0.810836089450005,0.721209863372175,0.8815427714646465,1.0,1.0,1.0,0.06697078002535353,0.02494318181818182,0.1185855263157895,,,,,,
handpd:spiral,vgg16,P1_image,subject,2,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8701201201201202,0.0,0.8015760869565217,0.717391304347826,0.8807065217391306,0.8787411860350578,0.7779550116099072,0.9518488537483267,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P2_subject,image,2,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.6879692192192193,0.0,0.8026086956521739,0.7171195652173913,0.8804347826086957,0.6865807088036854,0.553473656063988,0.7959419177879091,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P2_subject,subject,2,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.6981981981981982,0.0,0.8015760869565217,0.717391304347826,0.8807065217391306,0.7085155144214617,0.5750272025272025,0.833502383692257,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,leakage_probe,image,2,,,,,,,,,,,,,,,,,,,,0.9565217391304348,0.8210227272727273,0.75,0.5,0.5439658408408409,0.8043478260869565
