dataset,model,protocol,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
handpd:meander,vgg16,P1_image,image,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8729588963963965,0.0,0.7990217391304347,0.717391304347826,0.8698369565217392,0.8757184559359757,0.8066534133184524,0.9357982079195315,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,P1_image,subject,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.9091591591591592,0.0,0.8043478260869565,0.717391304347826,0.8804347826086957,0.9122476059813858,0.827311580882353,0.9798926073926074,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,P2_subject,image,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.7033596096096095,0.0,0.8038043478260869,0.7282608695652174,0.8804347826086957,0.7052121856595792,0.5758256524440762,0.8241086333570088,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,P2_subject,subject,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.7027027027027027,0.0,0.8043478260869565,0.717391304347826,0.8804347826086957,0.704557069427986,0.6045949422022331,0.8215756240987743,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,leakage_probe,image,1,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.8089887640449438,0.6666666666666666,0.5,0.5261824324324325,0.8043478260869565
handpd:meander,resnet50,P1_image,image,1,0.8070652173913043,0.5069444444444444,1.0,0.013888888888888888,0.8929110105580694,0.8643018018018018,0.10583920649955453,0.8020516304347827,0.7200407608695653,0.8752038043478262,0.8670312514977127,0.7829590428047078,0.9329253472222222,1.0,1.0,1.0,0.014531649075675253,0.0,0.04701891447368425,,,,,,
handpd:meander,resnet50,P1_image,subject,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.9211711711711712,0.0,0.8043478260869565,0.717391304347826,0.8804347826086957,0.9277521126334627,0.8382643995098039,0.9855913730173035,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,resnet50,P2_subject,image,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8365944069069068,0.0,0.8038043478260869,0.7282608695652174,0.8804347826086957,0.8330274414985429,0.7296155448238872,0.9061843093093094,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,resnet50,P2_subject,subject,1,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8611111111111113,0.0,0.8043478260869565,0.717391304347826,0.8804347826086957,0.8679008671113508,0.7519903285638581,0.9513958010835912,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,resnet50,leakage_probe,image,1,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.8117977528089888,0.6666666666666666,0.5,0.588963963963964,0.8043478260869565
