train,test,model,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95
handpd_spiral,kaggle_spiral,vgg16,image,1,0.7254901960784313,0.7254901960784315,0.6470588235294118,0.803921568627451,0.7021276595744681,0.7727797001153403,0.4566333243478906,0.7205128436056769,0.5729166666666666,0.84375,0.7679822377144805,0.579416232638889,0.9027777777777778,0.6363305176835418,0.38095238095238093,0.8462121212121209,0.8032145253486727,0.6190476190476191,0.9629629629629629
handpd_spiral,kaggle_spiral,vgg16,subject,1,0.75,0.7564102564102564,0.6666666666666666,0.8461538461538461,0.7407407407407407,0.7897435897435897,0.516811394121702,0.7530535714285714,0.5714285714285714,0.8928571428571429,0.7920673178073764,0.5989583333333334,0.9375,0.6727078947974483,0.4166666666666667,0.9090909090909091,0.8442252230526612,0.6153846153846154,1.0
handpd_spiral,kaggle_spiral,resnet50,image,1,0.6176470588235294,0.6176470588235294,0.23529411764705882,1.0,0.38095238095238093,0.6639753940792004,0.3651483716701107,0.6124119372745687,0.43333333333333335,0.775,0.6586976880937762,0.45245659722222226,0.82733809015059,0.22842386893703556,0.07692307692307693,0.37254901960784315,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,resnet50,subject,1,0.5714285714285714,0.6,0.2,1.0,0.3333333333333333,0.635897435897436,0.32249030993194194,0.5752321428571429,0.39285714285714285,0.75,0.6423184552571701,0.42500000000000004,0.8363144188596489,0.2018854959650137,0.0,0.4166666666666667,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,image,1,0.6568627450980392,0.6568627450980392,0.43137254901960786,0.8823529411764706,0.5569620253164557,0.6585928489042676,0.35149982013099745,0.655191999687871,0.5222222222222223,0.775,0.6588677568156791,0.4735872395833333,0.8175056360708534,0.42665432135095677,0.23809523809523808,0.5897435897435898,0.8885875223277,0.7916118421052631,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,subject,1,0.6785714285714286,0.6948717948717948,0.4666666666666667,0.9230769230769231,0.6086956521739131,0.7076923076923076,0.43026527297494643,0.6832678571428571,0.5,0.8571428571428571,0.7093332875435997,0.48958333333333337,0.8929315476190473,0.47146461335969264,0.21428571428571427,0.7274242424242416,0.9236588828719441,0.75,1.0
handpd_spiral,kaggle_spiral,vgg16,image,2,0.6372549019607843,0.6372549019607843,0.7843137254901961,0.49019607843137253,0.6837606837606838,0.7731641676278355,0.2872134789517764,0.6358659583090609,0.5098039215686274,0.7709077380952377,0.7690645488487127,0.6042266856237445,0.8941865079365079,0.7804878237403421,0.5952380952380952,0.9166666666666666,0.4880316725103447,0.2962962962962963,0.6852124183006535
handpd_spiral,kaggle_spiral,vgg16,subject,2,0.6428571428571429,0.6307692307692307,0.8,0.46153846153846156,0.7058823529411765,0.7897435897435898,0.2792896329177484,0.6413214285714286,0.4642857142857143,0.8214285714285714,0.7891825637167262,0.6019897959183673,0.946524064171123,0.7997968454769345,0.5714285714285714,1.0,0.4593493756262433,0.18181818181818182,0.75
handpd_spiral,kaggle_spiral,resnet50,image,2,0.5784313725490197,0.5784313725490196,0.2549019607843137,0.9019607843137255,0.37681159420289856,0.5655517108804307,0.2057377999494559,0.5735775299045968,0.4166666666666667,0.7222222222222222,0.5614551783117776,0.3846016184251478,0.7314865689865689,0.24787921793406373,0.09523809523809523,0.4,0.9036201860180408,0.8055555555555556,1.0
handpd_spiral,kaggle_spiral,resnet50,subject,2,0.5357142857142857,0.5615384615384615,0.2,0.9230769230769231,0.3157894736842105,0.558974358974359,0.17541160386140583,0.5362857142857144,0.35714285714285715,0.7142857142857143,0.5598494669988014,0.328125,0.765625,0.20038501325171218,0.0,0.42857142857142855,0.9210254624804161,0.7333333333333333,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,image,2,0.5098039215686274,0.5098039215686274,0.0392156862745098,0.9803921568627451,0.07407407407407407,0.6066897347174164,0.058025885318565944,0.5049192615824427,0.3020833333333333,0.7058823529411765,0.6019319672792105,0.4482476851851852,0.7535011574074072,0.037164619022917074,0.0,0.08333333333333333,0.9794590598151321,0.9259259259259259,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,subject,2,0.4642857142857143,0.5,0.0,1.0,0.0,0.641025641025641,0.0,0.46564285714285714,0.2857142857142857,0.6428571428571429,0.6396899196332911,0.41711229946524064,0.8512820512820513,0.0,0.0,0.0,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,vgg16,image,3,0.6470588235294118,0.6470588235294118,0.29411764705882354,1.0,0.45454545454545453,0.7750865051903114,0.41522739926869984,0.6400450900608492,0.4523809523809524,0.8055555555555556,0.7739256628547944,0.6068342151675485,0.9070881638794842,0.28195631610640726,0.05555555555555555,0.5294117647058824,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,vgg16,subject,3,0.5714285714285714,0.6,0.2,1.0,0.3333333333333333,0.7743589743589744,0.32249030993194194,0.5717678571428572,0.39285714285714285,0.75,0.7753878276149403,0.5794736842105263,0.9251336898395721,0.19923022321843664,0.0,0.4118872549019601,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,resnet50,image,3,0.5980392156862745,0.5980392156862745,0.19607843137254902,1.0,0.32786885245901637,0.6701268742791234,0.3296902366978935,0.5919326451786473,0.40476190476190477,0.7651893939393937,0.6666015917899606,0.46287253338336926,0.8359104938271604,0.18890029241095357,0.022222222222222223,0.3571649029982362,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,resnet50,subject,3,0.5357142857142857,0.5666666666666667,0.13333333333333333,1.0,0.23529411764705882,0.6307692307692307,0.2581988897471611,0.5357857142857142,0.35714285714285715,0.7142857142857143,0.6324629199189183,0.4050877192982456,0.84375,0.13195737068126606,0.0,0.3162280701754362,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,image,3,0.6470588235294118,0.6470588235294118,0.3333333333333333,0.9607843137254902,0.4857142857142857,0.6851211072664359,0.3777247238744093,0.6412814730006026,0.4791666666666667,0.7812839673913041,0.6855705770842396,0.476080283665423,0.8478106239824988,0.32394449592647756,0.11904761904761904,0.5167129629629628,0.9618467517200314,0.9166666666666666,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,subject,3,0.6071428571428571,0.6333333333333333,0.26666666666666666,1.0,0.42105263157894735,0.7282051282051283,0.38005847503304596,0.6078928571428571,0.42857142857142855,0.7857142857142857,0.7277801286201973,0.5078849581790759,0.9218749999999999,0.2670200458024685,0.06666666666666667,0.5,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,vgg16,image,4,0.5392156862745098,0.5392156862745098,1.0,0.0784313725490196,0.6845637583892618,0.7923875432525951,0.20203050891044216,0.5436707134801486,0.34375,0.7501225490196072,0.7960239067798611,0.621157796451914,0.9282514574759945,1.0,1.0,1.0,0.08006194637500795,0.0,0.18181818181818182
handpd_spiral,kaggle_spiral,vgg16,subject,4,0.5357142857142857,0.5,1.0,0.0,0.6976744186046512,0.7794871794871795,0.0,0.5345535714285714,0.35714285714285715,0.7142857142857143,0.7792896834793904,0.5721734148204737,0.9435969387755102,1.0,1.0,1.0,0.0,0.0,0.0
handpd_spiral,kaggle_spiral,resnet50,image,4,0.5980392156862745,0.5980392156862745,0.23529411764705882,0.9607843137254902,0.36923076923076925,0.5897731641676278,0.2849014411490949,0.5945466267547226,0.41654411764705884,0.7407638888888888,0.5925585914938408,0.38031094831094825,0.7833088235294118,0.2259422764080656,0.037037037037037035,0.42592592592592593,0.9681018596384784,0.9166666666666666,1.0
handpd_spiral,kaggle_spiral,resnet50,subject,4,0.5357142857142857,0.5666666666666667,0.13333333333333333,1.0,0.23529411764705882,0.5794871794871794,0.2581988897471611,0.5363214285714285,0.35714285714285715,0.7142857142857143,0.5793766485899646,0.34685905612244894,0.8011695906432749,0.1324683705573117,0.0,0.3333333333333333,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,image,4,0.5392156862745098,0.5392156862745098,0.0784313725490196,1.0,0.14545454545454545,0.6485966935793925,0.20203050891044216,0.5352328582030244,0.3333333333333333,0.7301587301587301,0.646752641370761,0.459449680335097,0.8152069917019095,0.07767616260500868,0.018518518518518517,0.14285714285714285,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,subject,4,0.4642857142857143,0.5,0.0,1.0,0.0,0.682051282051282,0.0,0.46544642857142854,0.2857142857142857,0.6428571428571429,0.6821365000349601,0.46153846153846156,0.8775510204081632,0.0,0.0,0.0,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,vgg16,image,5,0.5686274509803921,0.5686274509803921,0.9803921568627451,0.1568627450980392,0.6944444444444444,0.7485582468281429,0.2419553954370992,0.5724518702281717,0.3985406602254428,0.7556481481481476,0.7483529613938911,0.590482421875,0.8893025242504409,0.980263285020644,0.9333333333333333,1.0,0.15457792305677373,0.05555555555555555,0.25
handpd_spiral,kaggle_spiral,vgg16,subject,5,0.5714285714285714,0.5384615384615384,1.0,0.07692307692307693,0.7142857142857143,0.7794871794871795,0.20672455764868078,0.5739107142857143,0.39285714285714285,0.75,0.7781609434802583,0.5846153846153846,0.9250033422459892,1.0,1.0,1.0,0.07812510638226582,0.0,0.25
handpd_spiral,kaggle_spiral,resnet50,image,5,0.5490196078431373,0.5490196078431373,0.09803921568627451,1.0,0.17857142857142858,0.621683967704729,0.2270383045932499,0.5447069016681363,0.3333333333333333,0.75,0.6168555923329792,0.449655862344938,0.7729332010582011,0.09958339045250057,0.0,0.25,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,resnet50,subject,5,0.5,0.5333333333333333,0.06666666666666667,1.0,0.125,0.6,0.17916128329552333,0.49714285714285716,0.32142857142857145,0.6785714285714286,0.6001149077489747,0.37498397435897435,0.8,0.06564009403910652,0.0,0.21428571428571427,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,image,5,0.5980392156862745,0.5980392156862745,0.19607843137254902,1.0,0.32786885245901637,0.657439446366782,0.3296902366978935,0.5915423157861799,0.4,0.7666666666666667,0.658373149015762,0.4676719536502145,0.8225589225589223,0.1888456587457066,0.041666666666666664,0.34782608695652173,1.0,1.0,1.0
handpd_spiral,kaggle_spiral,efficientnet_b0,subject,5,0.5,0.5333333333333333,0.06666666666666667,1.0,0.125,0.6666666666666666,0.17916128329552333,0.49719642857142854,0.32142857142857145,0.6785714285714286,0.6701362087631609,0.4461538461538461,0.8770053475935828,0.06585109795016832,0.0,0.21428571428571427,1.0,1.0,1.0
